SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
OCC,59,46.069,C2H6O,ethanol,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",-227.2,-234.916704,288.6,281.288,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,68.5548,-55.869,0.032,1.821,3.999,6.536,9.385,12.502,15.849,19.393,23.106,26.963,30.943,35.03,39.209,0.106,5.226,10.072,14.688,19.074,23.232,27.172,30.904,34.441,37.797,40.982,44.011,46.893,-167.924665,-167.472918,-144.221696,-119.872614,-94.834028,-69.374128,-43.668852,-17.836198,8.048816,33.931158,59.766184,85.543948,111.242424,136.862306
COC,60,46.069,C2H6O,methoxymethane,InChI=1S/C2H6O/c1-3-2/h1-2H3,-184,-184.0580425,274.1,268.208,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,64.5085,-45.001,0.031,1.794,3.943,6.453,9.281,12.383,15.72,19.257,22.966,26.822,30.802,34.889,39.069,0.105,5.151,9.93,14.497,18.851,22.989,26.917,30.642,34.176,37.53,40.715,43.743,46.627,-113.1681635,-112.6931825,-88.1184945,-62.4112525,-35.9952785,-9.1416885,17.9689815,45.2145535,72.5141575,99.8110895,127.0707375,154.2681075,181.3920415,208.4235875
NNC,62,46.073,CH6N2,methylhydrazine,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3",94.52,94.53696,275.3,278.8,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,66.4321,14.428,0.031,1.728,3.789,6.204,8.936,11.949,15.203,18.665,22.306,26.099,30.024,34.062,38.196,0.102,4.959,9.544,13.937,18.143,22.162,25.992,29.638,33.107,36.407,39.548,42.539,45.391,187.092482,187.716432,219.678352,252.91202,286.929684,321.405922,356.134652,390.978496,425.84682,460.680754,495.435668,530.096348,564.649292,599.07067
CNO,63,47.057,CH5NO,N-methylhydroxylamine,"InChI=1S/CH5NO/c1-2-3/h2-3H,1H3",-88.72,-88.72,275.9,275.9,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,65.5748,-22.535,0.03,1.677,3.647,5.92,8.46,11.231,14.201,17.342,20.629,24.04,27.559,31.169,34.859,0.099,4.814,9.197,13.333,17.244,20.941,24.437,27.745,30.877,33.844,36.66,39.335,41.881,-12.754436,-12.242146,13.957952,41.14548,68.930336,97.061156,125.378376,153.777436,182.18846,210.564324,238.876996,267.10813,295.2451,323.27725
NOC,64,47.057,CH5NO,O-methylhydroxylamine,"InChI=1S/CH5NO/c1-3-2/h2H2,1H3",-57.95,-57.95,270.2,270.2,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,63.9708,-16.16,0.029,1.64,3.58,5.827,8.344,11.097,14.052,17.179,20.455,23.857,27.367,30.971,34.654,0.097,4.709,9.024,13.112,16.989,20.661,24.139,27.433,30.554,33.513,36.323,38.993,41.534,19.714164,20.236182,47.028852,74.84699,103.285864,132.082406,161.084576,190.175692,219.28128,248.362158,277.382352,306.316828,335.168844,363.91604
P=O,66,47.9808,HOP,oxophosphane,InChI=1S/HOP/c1-2/h2H,-263.9,-263.9,238.2,238.2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,56.2231,-61.801,0.02,1.125,2.424,3.902,5.534,7.299,9.176,11.146,13.196,15.312,17.483,19.702,21.96,0.067,3.232,6.123,8.812,11.326,13.68,15.89,17.965,19.918,21.759,23.497,25.141,26.699,-272.604431,-272.662368,-275.253204,-277.65875,-280.087636,-282.655256,-285.407,-288.3926,-291.62092,-295.098684,-297.754184,-296.525558,-295.310172,-294.53643
O=[O+][O-],67,47.997,O3,ozone,InChI=1S/O3/c1-3-2,142.3,142.45816,246.5,238.932,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,56.2711,34.534,0.018,0.982,2.028,3.144,4.314,5.526,6.77,8.039,9.327,10.63,11.945,13.27,14.604,0.062,2.827,5.159,7.192,8.995,10.613,12.078,13.414,14.642,15.775,16.828,17.81,18.73,162.957133,163.093102,170.048476,177.08064,184.143244,191.20971,198.274068,205.325874,212.37116,219.399204,226.42226,233.429408,240.42994,247.42228
CP,68,48.0248,CH5P,methylphosphane,"InChI=1S/CH5P/c1-2/h2H2,1H3",-25.98,-23.2101,258.5,258.5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,62.4188,-12.555,0.027,1.501,3.272,5.308,7.571,10.031,12.659,15.431,18.326,21.324,24.411,27.574,30.802,0.088,4.307,8.249,11.953,15.438,18.72,21.814,24.733,27.491,30.099,32.57,34.913,37.14,11.064966,11.298808,23.730276,37.2902,51.555616,66.262492,81.2546,96.418402,111.68654,127.005062,143.416136,163.9556,184.709644,205.22846
COO,69,48.041,CH4O2,hydroperoxymethane,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",-132.6,-129.425,276.9,276.9,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,64.9679,-28.862,0.03,1.645,3.532,5.663,8.007,10.533,13.215,16.03,18.958,21.984,25.093,28.274,31.517,0.099,4.727,8.925,12.805,16.415,19.785,22.942,25.906,28.697,31.329,33.817,36.174,38.411,-71.211594,-70.818346,-50.788044,-30.06299,-8.9348,12.42967,33.9203,55.459496,77.00232,98.505034,119.962056,141.353162,162.672872,183.91409
C(CF),70,48.0604,C2H5F,fluoroethane,"InChI=1S/C2H5F/c1-2-3/h2H2,1H3",-249.8,-265.12268,269.8,266.0875,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,64.5929,-59.258,0.027,1.571,3.465,5.686,8.19,10.938,13.894,17.025,20.307,23.716,27.234,30.845,34.536,0.091,4.507,8.721,12.761,16.617,20.283,23.761,27.059,30.186,33.151,35.967,38.643,41.189,-213.423554,-213.076934,-195.007604,-175.89837,-156.108288,-135.891172,-115.403692,-94.752042,-74.0233,-53.259948,-32.498216,-11.766438,8.928484,29.57627
SC,71,48.103,CH4S,methanethiol,"InChI=1S/CH4S/c1-2/h2H,1H3",-22.95,-22.86132,255.4,255.677,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,59.9532,-5.188,0.024,1.38,2.971,4.765,6.731,8.846,11.09,13.446,15.899,18.433,21.039,23.707,26.427,0.082,3.966,7.507,10.771,13.799,16.621,19.264,21.745,24.081,26.286,28.372,30.348,32.225,-9.904578,-9.819428,-4.815672,1.66733,8.978512,16.812686,25.003336,34.517312,49.08586,63.661262,78.208644,92.725352,107.211244,121.64479
NP,72,49.0128,H4NP,phosphanamine,InChI=1S/H4NP/c1-2/h1-2H2,-32.75,-32.75,251.5,251.5,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,61.3714,-3.884,0.025,1.388,2.98,4.778,6.756,8.89,11.157,13.539,16.019,18.582,21.215,23.908,26.654,0.083,3.989,7.533,10.806,13.851,16.698,19.368,21.876,24.239,26.468,28.576,30.572,32.465,10.978967,11.274068,26.790532,43.29618,60.388392,77.838354,95.498688,113.269294,131.10384,148.950848,167.866172,190.882266,214.087196,237.05617
NC(F),73,49.0484,CH4FN,fluoromethanamine,"InChI=1S/CH4FN/c2-1-3/h1,3H2",-203,-203,262.3,262.3,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,63.5507,-44.387,0.026,1.473,3.203,5.197,7.423,9.849,12.445,15.188,18.054,21.027,24.09,27.231,30.438,0.087,4.23,8.079,11.708,15.135,18.371,21.428,24.316,27.047,29.634,32.085,34.412,36.625,-142.804298,-142.399918,-121.57562,-99.86532,-77.604804,-55.00807,-32.217504,-9.333386,13.59746,36.520814,59.409116,82.25531,105.044756,127.76084
OC(F),77,50.0324,CH3FO,fluoromethanol,"InChI=1S/CH3FO/c2-1-3/h3H,1H2",-404,-426.94038,261.5,261.5,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,61.8268,-92.777,0.025,1.39,2.992,4.811,6.814,8.975,11.269,13.674,16.175,18.755,21.404,24.111,26.869,0.083,3.992,7.559,10.868,13.954,16.837,19.537,22.071,24.453,26.698,28.818,30.824,32.726,-383.960436,-383.670662,-368.797704,-353.29213,-337.382044,-321.237064,-304.942608,-288.571154,-272.17134,-255.759724,-239.372348,-223.010622,-206.684548,-190.39673
C#CC#C,78,50.06,C4H2,"buta-1,3-diyne",InChI=1S/C4H2/c1-3-4-2/h1-2H,433.9,463.8404,241,251.744,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0786,112.711,0.029,1.641,3.5,5.55,7.752,10.084,12.526,15.065,17.688,20.382,23.14,25.951,28.81,0.098,4.713,8.854,12.586,15.979,19.09,21.966,24.64,27.139,29.483,31.69,33.773,35.745,434.605408,434.407528,424.634244,414.94404,405.369712,395.916006,386.59096,377.370888,368.2569,359.232118,350.277432,341.39454,332.570584,323.80405
CCl,79,50.485,CH3Cl,chloromethane,InChI=1S/CH3Cl/c1-2/h1H3,-68.99,-83.72256667,237.5,234.606,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,55.9578,-16.536,0.02,1.106,2.379,3.822,5.409,7.122,8.942,10.855,12.846,14.906,17.023,19.191,21.402,0.066,3.176,6.011,8.636,11.081,13.366,15.509,17.523,19.42,21.212,22.907,24.513,26.038,-60.27190367,-60.11318067,-51.82875867,-42.94358667,-33.65299467,-24.10510267,-14.37931067,-4.543564667,5.366193333,15.31465333,25.28212133,35.25213533,45.22703733,55.19103333
C#CC#N,80,51.048,C3HN,propiolonitrile,InChI=1S/C3HN/c1-2-3-4/h1H,358.1,354,241,241,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,57.8264,89.913,0.027,1.481,3.12,4.9,6.794,8.784,10.858,13.002,15.209,17.469,19.776,22.122,24.502,0.09,4.257,7.908,11.15,14.068,16.724,19.165,21.424,23.527,25.493,27.339,29.078,30.72,335.334621,335.20925,328.925876,322.63438,316.3716,310.162452,304.015464,297.93251,291.90354,285.932124,280.005732,274.125604,268.279504,262.47296
C(F)(F),84,52.0238,CH2F2,difluoromethane,InChI=1S/CH2F2/c2-1-3/h1H2,-451.5,-451.4953689,245.3,247.101,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,58.9664,-98.075,0.021,1.144,2.461,3.96,5.616,7.403,9.3,11.288,13.353,15.482,17.664,19.892,22.159,0.069,3.286,6.218,8.946,11.495,13.88,16.113,18.207,20.175,22.027,23.773,25.424,26.988,-424.0471849,-423.8612149,-414.2582409,-404.0760089,-393.5029369,-382.6708589,-371.6743489,-360.5669749,-349.3897889,-338.1718789,-326.9308409,-315.6785309,-304.4244569,-293.1755089
N#CC#N,85,52.036,C2N2,cyanogen,InChI=1S/C2N2/c3-1-2-4,304.1,302.9693733,235.4,241.57,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,55.7201,71.485,0.024,1.319,2.737,4.247,5.831,7.479,9.181,10.93,12.72,14.544,16.397,18.275,20.176,0.081,3.795,6.955,9.705,12.147,14.346,16.351,18.193,19.898,21.485,22.968,24.36,25.671,291.5020353,291.4236193,287.5033533,283.4795833,279.4048933,275.3072313,271.2177693,267.1325913,263.0710333,259.0328693,255.0071333,251.0042213,247.0179533,243.0558833
C=CC#C,86,52.076,C4H4,but-1-en-3-yne,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",300,300.0316,272,281.4684,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2949,69.712,0.031,1.787,3.894,6.297,8.952,11.822,14.876,18.088,21.436,24.9,28.465,32.116,35.841,0.104,5.131,9.818,14.192,18.28,22.109,25.704,29.087,32.277,35.291,38.144,40.849,43.419,300.8813768,300.886644,301.574468,302.8917,304.656084,306.7586,309.108344,311.640672,314.30738,317.072794,319.902664,322.787884,325.712772,328.66125
C=C=C=C,87,52.076,C4H4,"buta-1,2,3-triene",InChI=1S/C4H4/c1-3-4-2/h1-2H2,309.1,309.1,263.7,263.7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,62.9705,76.014,0.034,1.898,4.083,6.544,9.241,12.144,15.225,18.459,21.826,25.307,28.886,32.55,36.287,0.113,5.452,10.315,14.795,18.949,22.822,26.449,29.855,33.063,36.092,38.956,41.671,44.249,315.24476,315.286818,317.677496,320.59559,323.90566,327.515406,331.353152,335.356762,339.48472,343.702606,347.976588,352.302576,356.660708,361.04243
B1(C=C1)N,88,52.871,C2H4BN,1H-boriren-1-amine,"InChI=1S/C2H4BN/c4-3-1-2-3/h1-2H,4H2",47.75,47.75,268.1,268.1,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,65.2137,11.496,0.032,1.882,4.101,6.62,9.387,12.359,15.507,18.803,22.227,25.759,29.384,33.089,36.863,0.109,5.402,10.34,14.926,19.186,23.153,26.858,30.33,33.592,36.664,39.565,42.311,44.914,79.450793,79.661224,90.776116,102.57283,114.811592,127.348624,140.070788,152.926114,165.85264,178.830494,191.829896,204.83636,217.836348,230.83456
C=CC#N,90,53.064,C3H3N,acrylonitrile,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",175,180.481475,266.5,275.211,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,64.6011,43.754,0.029,1.632,3.523,5.661,8.012,10.544,13.233,16.054,18.99,22.023,25.139,28.327,31.576,0.097,4.687,8.894,12.787,16.406,19.786,22.95,25.922,28.719,31.357,33.851,36.213,38.455,190.563858,190.631407,194.362571,198.620655,203.237059,208.121679,213.182011,218.382315,223.665735,229.017463,234.406903,239.820311,245.252659,250.687805
[C-]#[N+]C=C,91,53.064,C3H3N,isocyanoethene,"InChI=1S/C3H3N/c1-3-4-2/h3H,1H2",226.5,226.5,269.8,269.8,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,65.5524,58.568,0.03,1.694,3.633,5.812,8.199,10.765,13.484,16.333,19.294,22.35,25.487,28.694,31.96,0.101,4.868,9.184,13.152,16.828,20.251,23.452,26.453,29.274,31.932,34.443,36.819,39.073,238.194861,238.272396,242.502024,247.19838,252.217944,257.474792,262.898156,268.431396,274.0419,279.706918,285.401288,291.110848,296.834332,302.55309
C1=CC1=O,95,54.048,C3H2O,cycloprop-2-en-1-one,InChI=1S/C3H2O/c4-3-1-2-3/h1-2H,255.8,255.8,260.9,260.9,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,61.4643,39.368,0.026,1.475,3.187,5.116,7.221,9.473,11.847,14.323,16.886,19.522,22.22,24.971,27.768,0.087,4.234,8.045,11.556,14.798,17.803,20.598,23.206,25.648,27.942,30.101,32.14,34.069,252.692903,252.672032,251.853952,251.37336,251.141332,251.097932,251.202608,251.419834,251.72856,252.110676,252.542988,253.028266,253.5494,254.11011
C=C=C=O,96,54.048,C3H2O,"propa-1,2-dien-1-one",InChI=1S/C3H2O/c1-2-3-4/h1H2,194.8,194.8,266.1,266.1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,62.9627,28.109,0.029,1.621,3.413,5.379,7.497,9.746,12.11,14.572,17.119,19.74,22.423,25.159,27.942,0.099,4.662,8.654,12.234,15.495,18.497,21.28,23.874,26.301,28.58,30.728,32.755,34.675,190.143303,190.109524,188.668616,187.44523,186.420248,185.57219,184.863012,184.27349,183.77714,183.362122,183.01402,182.709688,182.45626,182.23781
O=CC#C,97,54.048,C3H2O,propiolaldehyde,"InChI=1S/C3H2O/c1-2-3-4/h1,3H",209.8,209.8,271,271,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,64.3431,30.759,0.027,1.543,3.293,5.237,7.345,9.592,11.957,14.423,16.974,19.598,22.285,25.025,27.811,0.093,4.437,8.332,11.872,15.119,18.117,20.901,23.498,25.929,28.212,30.362,32.393,34.315,203.683103,203.638688,201.758776,200.16661,198.794584,197.607006,196.570012,195.649748,194.826,194.076478,193.386348,192.751692,192.154564,191.59743
CC1=CC1,98,54.092,C4H6,1-methylcycloprop-1-ene,"InChI=1S/C4H6/c1-4-2-3-4/h2H,3H2,1H3",213.7,243.587088,282.8,282.8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7206,53.03,0.035,2.034,4.507,7.397,10.64,14.183,17.981,21.995,26.195,30.553,35.045,39.654,44.362,0.117,5.832,11.333,16.591,21.584,26.311,30.781,35.009,39.01,42.801,46.396,49.811,53.059,282.982688,283.24747,297.185104,312.163878,327.82912,343.945504,360.352444,376.946846,393.644568,410.402008,427.170612,443.931724,460.671436,477.373318
CC1C=C1,99,54.092,C4H6,3-methylcycloprop-1-ene,"InChI=1S/C4H6/c1-4-2-3-4/h2-4H,1H3",224.6,224.6,286.2,286.2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,68.653,56.241,0.034,2.027,4.504,7.401,10.653,14.205,18.01,22.032,26.238,30.6,35.097,39.709,44.42,0.116,5.814,11.323,16.594,21.601,26.339,30.818,35.054,39.061,42.856,46.455,49.872,53.122,262.9824,263.237456,276.838852,291.48515,306.811228,322.583014,338.643684,354.881784,371.22404,387.620162,404.024104,420.42139,436.797276,453.13366
C1C2CC12,100,54.092,C4H6,bicyclo[1.1.0]butane,"InChI=1S/C4H6/c1-3-2-4(1)3/h3-4H,1-2H2",254.7,217.0818,262,262,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9926,65.539,0.03,1.848,4.218,7.054,10.271,13.803,17.599,21.616,25.82,30.183,34.681,39.295,44.008,0.102,5.292,10.559,15.717,20.67,25.382,29.85,34.081,38.086,41.882,45.481,48.9,52.151,262.6758,262.980092,279.125216,296.46823,314.562084,333.13216,352.005332,371.06722,390.2341,409.457772,428.688428,447.917026,467.1167,486.28147
CCC#C,101,54.092,C4H6,but-1-yne,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",173.4,165.4105943,290.2,292.074,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,69.755,41.669,0.037,2.083,4.582,7.48,10.719,14.251,18.034,22.032,26.214,30.555,35.031,39.623,44.317,0.121,5.976,11.534,16.807,21.794,26.506,30.959,35.17,39.155,42.931,46.513,49.916,53.153,202.0425423,202.2921203,215.2630623,229.2437943,243.8934383,258.9929703,274.3889103,289.9756563,305.6757543,321.4368243,337.2215983,353.0047323,368.7673023,384.5083443
CC#CC,102,54.092,C4H6,but-2-yne,InChI=1S/C4H6/c1-3-4-2/h1-2H3,185.2,145.6967236,280.3,285.034,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0262,35.316,0.038,2.162,4.703,7.622,10.873,14.411,18.198,22.198,26.383,30.725,35.203,39.797,44.492,0.128,6.208,11.862,17.175,22.18,26.901,31.358,35.571,39.558,43.335,46.919,50.323,53.562,184.4265916,184.6856516,198.3075076,212.8701836,228.0741836,243.7213836,259.6549596,275.7822676,292.0195836,308.3203796,324.6398636,340.9556176,357.2549876,373.5215436
C=C=CC,103,54.092,C4H6,"buta-1,2-diene","InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",137,162.66474,288.6,294.424,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3204,29.001,0.037,2.104,4.615,7.519,10.763,14.299,18.085,22.088,26.275,30.62,35.101,39.699,44.397,0.123,6.038,11.623,16.908,21.902,26.619,31.077,35.292,39.281,43.061,46.647,50.054,53.295,198.596388,198.838758,211.561324,225.27487,239.647296,254.470028,269.585824,284.884066,300.30402,315.781602,331.275364,346.768322,362.241552,377.68155
C=CC=C,104,54.092,C4H6,"buta-1,3-diene","InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",109.8,109.7964109,274.1,280.674,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3259,27.17,0.035,1.999,4.424,7.26,10.449,13.942,17.694,21.669,25.832,30.158,34.622,39.206,43.891,0.115,5.732,11.127,16.286,21.196,25.856,30.273,34.458,38.425,42.188,45.761,49.157,52.389,149.8255589,150.0971009,164.2657269,179.5198009,195.5063229,211.9799349,228.7767069,245.7810049,262.9203909,280.1224209,297.3548429,314.5872969,331.8117269,349.0037609
C1CC=C1,105,54.092,C4H6,cyclobutene,"InChI=1S/C4H6/c1-2-4-3-1/h1-2H,3-4H2",157.1,157.120325,263.3,263.904,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3529,37.193,0.03,1.819,4.146,6.937,10.112,13.606,17.369,21.357,25.537,29.878,34.358,38.955,43.654,0.1,5.207,10.38,15.456,20.343,25.005,29.434,33.634,37.617,41.393,44.978,48.385,51.626,202.146933,202.449925,218.423041,235.627905,253.623737,272.130067,290.957885,309.995737,329.154465,348.375419,367.620077,386.863513,406.082205,425.276025
C=C1CC1,106,54.092,C4H6,methylenecyclopropane,InChI=1S/C4H6/c1-4-2-3-4/h1-3H2,160.4,200.5077467,269.4,269.4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0216,38.104,0.033,1.95,4.371,7.224,10.439,13.96,17.739,21.738,25.925,30.27,34.753,39.352,44.051,0.11,5.589,10.972,16.162,21.113,25.81,30.258,34.47,38.458,42.239,45.826,49.233,52.475,243.8965467,244.1885467,259.5209387,275.9705467,293.1425707,310.7841287,328.7363067,346.8834707,365.1439867,383.4721627,401.8073227,420.1492027,438.4721907,456.7556767
C(=O)C#N,110,55.036,C2HNO,formyl cyanide,InChI=1S/C2HNO/c3-1-2-4/h2H,29.99,29.99,267.2,267.2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,63.6822,8.256,0.025,1.398,2.941,4.628,6.438,8.353,10.355,12.432,14.572,16.766,19.005,21.282,23.592,0.085,4.021,7.458,10.531,13.319,15.873,18.231,20.419,22.458,24.366,26.158,27.846,29.439,32.373404,32.38761,33.299028,34.38191,35.593592,36.911446,38.316728,39.775228,41.28734,42.842026,44.428524,46.038278,47.665668,49.31853
CC1=CN1,111,55.08,C3H5N,2-methyl-1H-azirine,"InChI=1S/C3H5N/c1-3-2-4-3/h2,4H,1H3",257.7,257.7,279.1,279.1,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,67.6264,77.547,0.034,1.932,4.239,6.905,9.876,13.107,16.558,20.197,23.996,27.93,31.981,36.131,40.367,0.112,5.545,10.677,15.528,20.103,24.413,28.476,32.308,35.927,39.35,42.592,45.667,48.589,305.566101,305.889722,322.57232,340.14759,358.282876,376.767202,395.466388,414.280328,433.15552,452.044984,470.908,489.740502,508.526696,527.25803
C=C1CN1,112,55.08,C3H5N,2-methyleneaziridine,"InChI=1S/C3H5N/c1-3-2-4-3/h4H,1-2H2",180.9,180.9,270.3,270.3,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,65.1806,56.755,0.032,1.851,4.107,6.738,9.684,12.895,16.329,19.954,23.74,27.663,31.704,35.845,40.073,0.106,5.307,10.325,15.113,19.649,23.932,27.975,31.792,35.4,38.813,42.046,45.115,48.032,231.388501,231.728886,249.351676,267.93151,287.105636,306.653046,326.428692,346.32787,366.29666,386.27805,406.245532,426.189606,446.08152,465.9215
C1=CC1N,113,55.08,C3H5N,cycloprop-2-en-1-amine,"InChI=1S/C3H5N/c4-3-1-2-3/h1-3H,4H2",224.6,224.6,277,277,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,67.0505,68.588,0.034,1.933,4.25,6.925,9.902,13.134,16.583,20.217,24.009,27.935,31.978,36.119,40.346,0.112,5.546,10.7,15.568,20.152,24.464,28.524,32.351,35.964,39.379,42.614,45.683,48.599,273.091901,273.419722,290.314828,308.0955,326.426156,345.102508,363.988704,382.994252,402.05938,421.139198,440.203436,459.238414,478.222904,497.15755
CC[N+]#[C-],114,55.08,C3H5N,isocyanoethane,"InChI=1S/C3H5N/c1-3-4-2/h3H2,1H3",97.66,119.0486667,286.3,358.889,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,69.6046,32.567,0.034,1.952,4.25,6.895,9.843,13.052,16.483,20.104,23.887,27.809,31.849,35.99,40.218,0.115,5.605,10.718,15.532,20.071,24.351,28.39,32.204,35.809,39.22,42.453,45.522,48.438,143.1376457,143.2979267,151.9886667,161.5620467,171.7063107,182.2192607,192.9612827,203.8289267,214.7611667,225.7126947,236.6561667,247.5670347,258.4299227,269.2471467
CN=C=C,115,55.08,C3H5N,N-methylethenimine,"InChI=1S/C3H5N/c1-3-4-2/h1H2,2H3",100.1,100.1,281.4,281.4,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,68.2597,33.365,0.035,2.001,4.347,7.032,10.01,13.24,16.687,20.319,24.111,28.039,32.083,36.227,40.457,0.118,5.747,10.967,15.853,20.438,24.747,28.805,32.631,36.244,39.66,42.897,45.968,48.886,147.280701,147.596378,164.002996,181.24293,199.018636,217.137112,235.465432,253.91185,272.41534,290.938118,309.44866,327.919492,346.346524,364.72204
N(C=C)=C,116,55.08,C3H5N,N-vinylmethanimine,"InChI=1S/C3H5N/c1-3-4-2/h3H,1-2H2",116.6,116.6,276.7,276.7,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,66.9619,38.564,0.033,1.894,4.156,6.775,9.703,12.895,16.312,19.923,23.697,27.61,31.643,35.777,40,0.11,5.435,10.467,15.233,19.74,23.999,28.022,31.824,35.42,38.824,42.051,45.115,48.028,165.181301,165.50805,182.4574,200.33955,218.819336,237.6862,256.784644,276.019996,295.33332,314.66635,333.988816,353.287456,372.53728,391.74144
NCC#C,118,55.08,C3H5N,prop-2-yn-1-amine,"InChI=1S/C3H5N/c1-2-3-4/h1H,3-4H2",174.9,174.9,282.3,282.3,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,68.5201,55.096,0.035,1.962,4.276,6.93,9.877,13.075,16.489,20.09,23.85,27.748,31.764,35.882,40.087,0.115,5.631,10.78,15.61,20.147,24.414,28.433,32.225,35.808,39.199,42.413,45.464,48.365,221.812501,222.13014,238.473928,255.68698,273.46172,291.602638,309.969284,328.473674,347.0552,365.661866,384.264656,402.846128,421.393832,439.89211
CCC#N,119,55.08,C3H5N,propiononitrile,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",48.52,51.0411,283.2,286.828,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,68.7468,13.618,0.033,1.921,4.2,6.83,9.763,12.957,16.374,19.981,23.751,27.66,31.688,35.817,40.034,0.113,5.514,10.584,15.371,19.887,24.149,28.17,31.969,35.561,38.962,42.185,45.245,48.154,96.604257,96.906988,112.828072,129.65604,147.067432,164.858378,182.880904,201.04828,219.28276,237.544052,255.793108,274.0221,292.20562,310.34264
